,Country_of_Origin,Region,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,CleanCup,Sweetness,CupperPoints,TotalCupPoints
171,Brazil,SouthA,8.17,7.67,7.75,7.75,7.67,7.75,10,10,10,7.75,84.5
172,Costa Rica,CentralA,7.58,7.83,7.83,8,7.67,7.58,10,10,10,7.92,84.42
173,Indonesia,Asia,7.67,7.67,7.83,7.58,7.83,7.83,10,10,10,8,84.42
174,Colombia,SouthA,7.92,7.83,7.75,7.67,7.92,7.67,10,10,10,7.67,84.42
175,Colombia,SouthA,7.92,7.75,7.67,7.92,7.67,7.75,10,10,10,7.75,84.42
176,Taiwan,Asia,7.83,7.83,7.75,8,7.5,7.75,10,10,10,7.75,84.42
177,United States (Hawaii),Pacific,7.92,7.92,7.5,7.83,7.5,7.92,10,10,10,7.83,84.42
178,Mexico,CentralA,7.75,7.92,7.75,7.67,7.83,7.67,10,10,10,7.83,84.42
179,Ethiopia,Africa,7.5,7.75,7.83,7.92,7.92,7.75,10,10,10,7.75,84.42
180,Kenya,Africa,7.33,7.58,7.83,7.75,7.75,7.92,10,10,10,8.17,84.33
181,Honduras,CentralA,7.92,8,7.75,7.67,7.67,7.75,10,10,10,7.58,84.33
182,Colombia,SouthA,7.58,7.75,7.5,7.83,7.67,8.5,10,10,10,7.5,84.33
183,Honduras,CentralA,7.58,7.92,7.58,7.75,7.92,7.75,10,10,10,7.83,84.33
184,Colombia,SouthA,7.67,7.67,7.75,7.83,7.75,7.83,10,10,10,7.83,84.33
185,Colombia,SouthA,7.75,7.67,8,7.67,8.08,7.83,10,10,10,7.33,84.33
186,Colombia,SouthA,7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,8.17,84.33
187,Mexico,CentralA,8,7.75,7.75,7.83,7.5,7.67,10,10,10,7.83,84.33
188,Brazil,SouthA,8.17,8,7.5,7.75,7.5,7.67,10,10,10,7.75,84.33
189,Brazil,SouthA,8,8,7.5,7.5,7.67,7.75,10,10,10,7.92,84.33
190,Ethiopia,Africa,7.75,7.75,7.92,7.75,7.5,7.92,10,10,10,7.75,84.33
191,Guatemala,CentralA,7.5,7.67,7.75,7.67,7.92,7.92,10,10,10,7.92,84.33
192,Taiwan,Asia,7.92,7.75,7.75,7.67,7.67,7.83,10,10,10,7.67,84.25
193,Thailand,Asia,7.83,7.75,7.75,7.42,7.83,7.67,10,10,10,8,84.25
194,Colombia,SouthA,7.83,7.58,7.75,7.58,7.67,8,10,10,10,7.83,84.25
195,Guatemala,CentralA,7.75,7.75,7.58,7.92,7.75,7.75,10,10,10,7.75,84.25
196,Guatemala,CentralA,7.75,7.92,7.5,8.08,7.58,7.67,10,10,10,7.75,84.25
197,China,Asia,7.83,7.83,7.58,7.75,7.75,7.75,10,10,10,7.75,84.25
198,Colombia,SouthA,7.67,7.67,7.75,7.75,7.67,7.92,10,10,10,7.83,84.25
199,Colombia,SouthA,7.83,7.67,7.75,7.58,7.92,7.75,10,10,10,7.75,84.25
200,Colombia,SouthA,7.83,7.75,7.83,7.58,7.67,7.75,10,10,10,7.83,84.25
201,Colombia,SouthA,7.42,7.67,7.83,7.75,7.92,7.83,10,10,10,7.83,84.25
202,"Tanzania, United Republic Of",Africa,7.83,7.67,7.75,7.83,7.67,7.67,10,10,10,7.83,84.25
203,"Tanzania, United Republic Of",Africa,7.83,7.75,7.75,7.75,7.67,7.75,10,10,10,7.75,84.25
204,Guatemala,CentralA,7.83,7.83,7.5,7.92,7.58,7.75,10,10,10,7.83,84.25
205,Colombia,SouthA,7.58,7.5,7.75,7.83,7.92,7.83,10,10,10,7.83,84.25
206,United States (Hawaii),Pacific,7.33,7.92,7.92,7.92,7.92,8.08,10,10,9.33,7.83,84.25
207,Mexico,CentralA,7.83,7.92,7.67,7.83,7.5,7.75,10,10,10,7.75,84.25
208,Mexico,CentralA,7.83,7.83,7.75,7.67,7.83,7.58,10,10,10,7.75,84.25
209,Mexico,CentralA,7.83,7.92,7.67,7.75,7.5,7.75,10,10,10,7.83,84.25
210,Uganda,Africa,8.17,7.75,7.58,7.67,7.83,7.58,10,10,10,7.67,84.25
211,Guatemala,CentralA,7.75,7.83,7.58,7.83,7.67,7.75,10,10,10,7.75,84.17
212,Colombia,SouthA,7.83,7.75,7.58,7.67,7.75,7.83,10,10,10,7.75,84.17
213,Costa Rica,CentralA,7.92,7.75,7.67,7.67,7.5,7.67,10,10,10,8,84.17
214,Guatemala,CentralA,7.75,7.75,7.58,8,7.67,7.83,10,10,10,7.58,84.17
215,Guatemala,CentralA,7.75,7.92,7.58,7.92,7.67,7.67,10,10,10,7.67,84.17
216,Guatemala,CentralA,7.58,7.83,7.58,7.83,7.83,7.67,10,10,10,7.83,84.17
217,Colombia,SouthA,8,7.5,7.5,7.67,8,7.83,10,10,10,7.67,84.17
218,Nicaragua,CentralA,7.67,7.83,7.83,7.5,7.67,7.83,10,10,10,7.83,84.17
219,Brazil,SouthA,7.67,7.75,7.75,7.67,7.83,7.75,10,10,10,7.75,84.17
220,Costa Rica,CentralA,7.67,7.75,7.67,7.75,7.5,8,10,10,10,7.83,84.17
221,Ethiopia,Africa,7.5,7.92,7.58,7.83,7.75,7.83,10,10,10,7.75,84.17
222,"Tanzania, United Republic Of",Africa,7.92,7.75,7.75,7.75,7.75,7.58,10,10,10,7.67,84.17
223,Colombia,SouthA,7.67,7.5,7.67,7.42,7.83,8.58,10,10,10,7.5,84.17
224,Guatemala,CentralA,7.67,7.75,7.67,7.75,7.75,7.75,10,10,10,7.83,84.17
225,Kenya,Africa,7.58,7.75,7.75,7.75,7.75,7.83,10,10,10,7.75,84.17
226,Brazil,SouthA,7.58,7.83,7.75,7.67,7.67,8,10,10,10,7.67,84.17
227,Guatemala,CentralA,7.92,7.75,7.67,7.67,7.83,7.92,10,10,10,7.42,84.17
228,El Salvador,CentralA,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10,10,7.92,84.17
229,Colombia,SouthA,7.75,7.75,7.75,7.75,7.83,7.75,10,10,10,7.58,84.17
230,Guatemala,CentralA,7.83,7.5,7.5,8,7.83,7.83,10,10,10,7.67,84.17
231,Uganda,Africa,7.83,7.75,7.5,7.83,7.83,7.75,10,10,10,7.67,84.17
232,Indonesia,Asia,7.81,7.88,7.56,7.75,7.63,7.75,10,10,10,7.75,84.13
233,Colombia,SouthA,7.83,7.5,7.42,7.5,7.83,8.5,10,10,10,7.5,84.08
234,Taiwan,Asia,7.58,7.67,7.67,7.67,7.75,7.83,10,10,10,7.92,84.08
235,Guatemala,CentralA,8,7.75,7.5,7.58,7.92,7.67,10,10,10,7.67,84.08
236,Colombia,SouthA,7.92,7.75,7.67,7.75,7.67,7.67,10,10,10,7.67,84.08
237,Guatemala,CentralA,7.58,7.75,7.67,8,7.75,7.67,10,10,10,7.67,84.08
238,United States (Hawaii),Pacific,7.83,7.75,7.83,7.83,7.42,8.08,9.33,10,10,8,84.08
239,Mexico,CentralA,7.67,7.75,7.67,7.75,7.67,7.75,10,10,10,7.83,84.08
240,Ethiopia,Africa,7.92,7.92,7.83,8,7.92,7.92,10,10,8.67,7.92,84.08
241,Costa Rica,CentralA,7.58,7.75,7.67,7.75,7.83,7.75,10,10,10,7.67,84
242,Ethiopia,Africa,7.83,7.75,7.67,7.75,7.33,7.75,10,10,10,7.92,84
243,Honduras,CentralA,7.42,7.83,7.75,7.92,7.75,7.58,10,10,10,7.75,84
244,Guatemala,CentralA,7.67,7.83,7.58,7.92,7.75,7.67,10,10,10,7.58,84
245,Colombia,SouthA,7.67,7.67,7.83,7.58,7.58,7.83,10,10,10,7.83,84
246,Guatemala,CentralA,7.92,7.67,7.42,7.92,7.75,7.83,10,10,10,7.5,84
247,Guatemala,CentralA,7.75,7.83,7.5,7.83,7.58,7.67,10,10,10,7.83,84
248,Colombia,SouthA,7.67,7.75,7.67,7.67,7.67,7.75,10,10,10,7.83,84
249,Colombia,SouthA,7.58,7.42,7.75,7.92,7.75,7.92,10,10,10,7.67,84
250,Colombia,SouthA,7.67,7.67,7.5,7.5,7.67,7.67,10,10,10,8.33,84
251,Ethiopia,Africa,7.75,7.75,7.5,7.58,7.67,7.92,10,10,10,7.83,84
252,Brazil,SouthA,7.58,7.83,7.67,7.25,8,7.75,10,10,10,7.92,84
253,Colombia,SouthA,7.67,7.83,7.67,7.75,7.67,7.75,10,10,10,7.67,84
254,Kenya,Africa,7.67,7.83,7.5,7.75,7.92,7.67,10,10,10,7.67,84
255,Thailand,Asia,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,8.42,84
256,Kenya,Africa,7.67,7.75,7.67,7.75,7.83,7.67,10,10,10,7.67,84
257,Uganda,Africa,7.92,7.75,7.58,7.67,7.67,7.83,10,10,10,7.58,84
258,Thailand,Asia,7.58,7.75,7.58,7.75,7.58,7.75,10,10,10,8,84
259,Brazil,SouthA,7.5,7.75,7.58,7.5,7.58,7.5,10,10,10,8.5,83.92
260,Mexico,CentralA,7.83,7.83,7.58,7.92,7.42,7.5,10,10,10,7.83,83.92
261,Thailand,Asia,7.67,7.75,7.5,7.67,7.67,7.83,10,10,10,7.83,83.92
262,Brazil,SouthA,7.58,7.67,7.67,7.75,7.58,7.83,10,10,10,7.83,83.92
263,Taiwan,Asia,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10,10,7.83,83.92
264,Colombia,SouthA,7.75,7.67,7.5,7.75,7.83,7.75,10,10,10,7.67,83.92
265,Colombia,SouthA,7.75,7.58,7.5,7.83,7.75,7.92,10,10,10,7.58,83.92
266,Taiwan,Asia,7.75,7.75,7.58,7.75,7.75,7.67,10,10,10,7.67,83.92
267,Colombia,SouthA,7.92,7.67,7.5,7.83,7.58,7.67,10,10,10,7.75,83.92
268,Colombia,SouthA,7.83,7.75,7.58,7.58,7.75,7.75,10,10,10,7.67,83.92
269,Colombia,SouthA,7.75,7.58,7.67,7.83,7.83,7.67,10,10,10,7.58,83.92
270,Taiwan,Asia,8,7.92,7.92,7.92,7.67,7.33,10,10,10,7.17,83.92
271,Colombia,SouthA,7.67,7.83,7.67,7.75,7.67,7.83,10,10,10,7.5,83.92
272,Mexico,CentralA,7.67,7.75,7.58,7.67,7.75,7.83,10,10,10,7.67,83.92
273,Mexico,CentralA,7.5,7.67,7.58,7.83,7.75,7.75,10,10,10,7.83,83.92
274,Mexico,CentralA,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10,10,7.75,83.92
275,Colombia,SouthA,7.92,7.58,7.5,7.83,7.58,7.67,10,10,10,7.75,83.83
276,Colombia,SouthA,7.83,7.67,7.5,7.75,7.75,7.75,10,10,10,7.58,83.83
277,Costa Rica,CentralA,7.67,7.67,7.75,7.67,7.5,7.75,10,10,10,7.83,83.83
